Position,Driver,Team,Points,RacePoints,SprintPoints,CompletedRounds
1,ANT,Mercedes,72.0,68.0,4.0,3
2,RUS,Mercedes,63.0,55.0,8.0,3
3,LEC,Ferrari,49.0,42.0,7.0,3
4,HAM,Ferrari,41.0,35.0,6.0,3
5,NOR,McLaren,25.0,20.0,5.0,3
6,PIA,McLaren,21.0,18.0,3.0,3
7,BEA,Haas,17.0,16.0,1.0,3
8,GAS,Alpine,15.0,15.0,0.0,3
9,VER,Red Bull,12.0,12.0,0.0,3
10,LAW,Racing Bulls,10.0,8.0,2.0,3
11,HAD,Red Bull,4.0,4.0,0.0,3
12,LIN,Racing Bulls,4.0,4.0,0.0,3
13,BOR,Audi,2.0,2.0,0.0,3
14,SAI,Williams,2.0,2.0,0.0,3
15,COL,Alpine,1.0,1.0,0.0,3
16,OCO,Haas,1.0,1.0,0.0,3
17,ALB,Williams,0.0,0.0,0.0,3
18,ALO,Aston Martin,0.0,0.0,0.0,3
19,BOT,Cadillac,0.0,0.0,0.0,3
20,HUL,Audi,0.0,0.0,0.0,3
21,PER,Cadillac,0.0,0.0,0.0,3
22,STR,Aston Martin,0.0,0.0,0.0,3
